Id,Country,City,Lat,Lng
1,Afghanistan,Kabul,34.5166667,69.1833344
2,Afghanistan,Kandahar,31.61,65.6999969
3,Afghanistan,Mazar-e Sharif,36.7069444,67.1122208
4,Afghanistan,Herat,34.34,62.1899986
5,Afghanistan,Jalalabad,34.42,70.4499969
6,Afghanistan,Konduz,36.72,68.8600006
7,Afghanistan,Ghazni,33.5535554,68.4268875
8,Afghanistan,Balkh,36.7586111,66.8961105
9,Afghanistan,Baghlan,36.12,68.6999969
10,Afghanistan,Gardez,33.59,69.2200012
85,Albania,Tirana,41.3275,19.8188896
86,Albania,Durres,41.3230556,19.4413891
87,Albania,Elbasan,41.1125,20.082222
88,Albania,Vlore,40.4666667,19.4897213
89,Albania,Shkoder,42.0682829,19.5125771
90,Albania,Fier-Cifci,40.7166667,19.5666676
91,Albania,Korce,40.6186111,20.7808342
92,Albania,Berat,40.7058333,19.9522228
93,Albania,Lushnje,40.9419444,19.7049999
94,Albania,Kavaje,41.1855556,19.5569439
185,Algeria,Algiers,36.7630556,3.0505557
186,Algeria,Oran,35.6911111,-0.6416667
187,Algeria,Constantine,36.365,6.6147223
188,Algeria,Batna,35.555971,6.1741447
189,Algeria,Bab Ezzouar,36.7166667,3.1833334
190,Algeria,Annaba,36.9,7.7666669
191,Algeria,Sidi Bel Abbes,35.1938889,-0.6413889
192,Algeria,Ech Chettia,36.1956637,1.2584496
193,Algeria,Bejaia,36.75,5.0833335
194,Algeria,Skikda,36.8791667,6.9066668
195,Algeria,El Achir,36.0666667,4.6305556
196,Algeria,Medea,36.2675,2.75
197,Algeria,Bechar,31.6166667,-2.2166667
198,Algeria,Tlemcen,34.8783333,-1.3150001
199,Algeria,Mostaganem,35.9333333,0.0902778
200,Algeria,El Eulma,36.15,5.6833334
201,Algeria,Saida,34.8333333,0.15
202,Algeria,Guelma,36.4661111,7.4338889
203,Algeria,Bordj el Kiffan,36.7475,3.1930556
204,Algeria,Ain Oussera,35.4513889,2.9058332
205,Algeria,Laghouat,33.8,2.8833332
206,Algeria,Ain Beida,35.7963889,7.3927779
207,Algeria,Baraki,36.6691667,3.0952778
208,Algeria,Oum el Bouaghi,35.8775,7.1136112
209,Algeria,Messaad,34.1666667,3.5
210,Algeria,Barika,35.3897222,5.3766665
211,Algeria,Beni Mered,36.5230556,2.8625
212,Algeria,Aflou,34.1088889,2.1019444
213,Algeria,El Khroub,36.2633333,6.6936111
214,Algeria,Rouissat,31.9272222,5.3497224
215,Algeria,Berrouaghia,36.1366667,2.9130557
216,Algeria,Ksar el Boukhari,35.8855556,2.7508333
217,Algeria,Khemis Miliana,36.2622222,2.2180555
218,Algeria,Azzaba,36.7394444,7.105278
219,Algeria,Tamanrasset,22.785,5.522778
